User,Dataset,Action,Phase
u10,Brightkite,Pan,First
u10,Brightkite,Select,Second
u15,Brightkite,Pan,First
u15,Brightkite,Pan,Second
u12,Brightkite,Pan,First
u12,Brightkite,Pan,Second
u11,Brightkite,Brush,First
u11,Brightkite,Brush,Second
u9,Brightkite,Pan,First
u9,Brightkite,Brush,Second
u16,Brightkite,Select,First
u16,Brightkite,Pan,Second
u13,Brightkite,Pan,First
u13,Brightkite,Pan,Second
u14,Brightkite,Select,First
u14,Brightkite,Brush,Second
u1,FAA,Pan,First
u1,FAA,Pan,Second
u4,FAA,Brush,First
u4,FAA,Pan,Second
u7,FAA,Brush,First
u7,FAA,Select,Second
u3,FAA,Select,First
u3,FAA,Brush,Second
u6,FAA,Brush,First
u6,FAA,Brush,Second
u8,FAA,Select,First
u8,FAA,Select,Second
u5,FAA,Brush,First
u5,FAA,Brush,Second
u2,FAA,Brush,First
u2,FAA,Select,Second
