User,Dataset,Brush,Pan,Zoom,Select,Phase
u10,Brightkite,9.0,108.0,6.0,37.0,First
u10,Brightkite,11.0,40.0,0.0,110.0,Second
u15,Brightkite,30.0,105.0,4.0,50.0,First
u15,Brightkite,63.0,67.0,6.0,61.0,Second
u12,Brightkite,29.0,155.0,10.0,17.0,First
u12,Brightkite,142.0,192.0,2.0,12.0,Second
u11,Brightkite,178.0,46.0,0.0,25.0,First
u11,Brightkite,221.0,35.0,1.0,72.0,Second
u9,Brightkite,7.0,113.0,10.0,105.0,First
u9,Brightkite,304.0,83.0,3.0,45.0,Second
u16,Brightkite,60.0,87.0,5.0,94.0,First
u16,Brightkite,2.0,191.0,12.0,80.0,Second
u13,Brightkite,99.0,327.0,10.0,61.0,First
u13,Brightkite,53.0,254.0,10.0,73.0,Second
u14,Brightkite,70.0,47.0,3.0,86.0,First
u14,Brightkite,91.0,51.0,0.0,42.0,Second
u1,FAA,55.0,92.0,15.0,86.0,First
u1,FAA,64.0,143.0,0.0,85.0,Second
u4,FAA,51.0,42.0,21.0,50.0,First
u4,FAA,0.0,57.0,0.0,52.0,Second
u7,FAA,159.0,1.0,0.0,6.0,First
u7,FAA,8.0,23.0,0.0,93.0,Second
u3,FAA,1.0,4.0,0.0,75.0,First
u3,FAA,49.0,6.0,0.0,38.0,Second
u6,FAA,95.0,11.0,2.0,26.0,First
u6,FAA,106.0,11.0,0.0,29.0,Second
u8,FAA,20.0,5.0,5.0,169.0,First
u8,FAA,18.0,33.0,0.0,223.0,Second
u5,FAA,244.0,1.0,0.0,28.0,First
u5,FAA,189.0,8.0,0.0,38.0,Second
u2,FAA,158.0,0.0,0.0,0.0,First
u2,FAA,29.0,40.0,0.0,82.0,Second
